id,title,genres,authors,year
166439,Отрочество,"Литература 19 века,Русская классика",Лев Толстой,1854
228304,Недоразумение,Критика,Михаил Салтыков-Щедрин,1869
103717,Цыгане,Критика,Михаил Салтыков-Щедрин,1871
279038,Левша,"Сказки,Список школьной литературы 5-6 класс,Литература 19 века,Русская классика",Николай Лесков,1881
89144,Нос,Классическая проза,Николай Гоголь,
35488,У страха глаза велики,Сказки,,
181367,Электричество,"Зарубежная классика,Классическая проза",Евгений Замятин,1918
217621,Кисель,"Сказки,Литература 19 века,Русская классика",Михаил Салтыков-Щедрин,1885
231257,Безумие,"Мистика,Литература 19 века",Александр Куприн,1894
270415,Черный человек,Стихи и поэзия,Сергей Есенин,
222102,Забытый поцелуй,"Детская проза,Литература 19 века,Русская классика",Александр Куприн,1894
111173,Богатырь,"Сказки,Литература 19 века,Русская классика",Михаил Салтыков-Щедрин,1886
137350,Руководство к первоначальному изучению всеобщей истории,Критика,Михаил Салтыков-Щедрин,1847
136012,Обманщик-газетчик и легковерный читатель,"Зарубежная классика,Литература 19 века,Русская классика",Михаил Салтыков-Щедрин,1884
164470,Вяленая вобла,"Зарубежные детские книги,Сказки,Зарубежная классика,Литература 19 века,Русская классика",Михаил Салтыков-Щедрин,1884
223806,Капитал. Том первый,"Политология,Книги по экономике,Литература 19 века",Карл Маркс,1867
28495,Демон,"Стихи и поэзия,Список школьной литературы 10-11 класс,Литература 19 века",Михаил Лермонтов,1841
39443,Напрасные опасения,Критика,Михаил Салтыков-Щедрин,1868
174888,Ревизор,"Пьесы и драматургия,Список школьной литературы 7-8 класс,Литература 19 века,Русская классика",Николай Гоголь,1836
72049,Семья вурдалака,"Мистика,Литература 19 века,Книги про вампиров",Алексей Толстой,1839
296026,Старосветские помещики,"Литература 19 века,Русская классика",Николай Гоголь,1835
287242,Провинциалка,"Пьесы и драматургия,Литература 19 века,Русская классика",Иван Тургенев,1850
31597,Холостяк,"Пьесы и драматургия,Литература 19 века,Русская классика",Иван Тургенев,1849
310744,Рыцарь нашего времени,"Литература 19 века,Русская классика",Николай Карамзин,1803
151190,История государства Российского. Том 2. От Великого князя Святополка до Великого князя Мстислава Изяславовича,Общая история,Николай Карамзин,
286091,История государства Российского. Том 4. От Великого князя Ярослава II до Великого князя Дмитрия Константиновича,"Общая история,Литература 19 века",Николай Карамзин,1816-1829
35192,История государства Российского. Том 6. Государствование Иоанна III Василиевича,"Общая история,Литература 19 века",Николай Карамзин,1816-1829
29124,История государства Российского. Том 9. Продолжение царствования Иоанна Грозного. 1560-1584 гг.,"Общая история,Литература 19 века",Николай Карамзин,1816-1829
98038,История государства Российского. Том 11. От Бориса Годунова до Лжедмитрия. 1598-1606 гг.,"Общая история,Литература 19 века",Николай Карамзин,1816-1829
316479,Письма русского путешественника,"Литература 18 века,Русская классика",Николай Карамзин,1792
9790,Девушка и смерть,"Стихи и поэзия,Сказки,Литература 19 века,Русская классика",Максим Горький,1892
261378,Васса Железнова,"Пьесы и драматургия,Литература 20 века,Русская классика",Максим Горький,1936
231627,Царство мрачного Аида,"Мифы / легенды / эпос,Зарубежные детские книги,Античная литература",,
71261,Орфей и Эвридика,"Мифы / легенды / эпос,Зарубежные детские книги,Античная литература",,
216637,Смоляное чучелко,"Зарубежные детские книги,Сказки",Джоэль Чендлер Харрис,
32534,Дюймовочка,"Зарубежные детские книги,Сказки",Ганс Андерсен,1835
14876,Гадкий утёнок,"Зарубежные детские книги,Сказки",Ганс Андерсен,1843
12987,Русалочка,"Зарубежные детские книги,Сказки",Ганс Андерсен,1837
14827,Лягушка-путешественница,"Сказки,Литература 19 века",Всеволод Гаршин,1887
114733,Басни,"Стихи и поэзия,Литература 19 века,Русская классика",Иван Крылов,
35266,Крестьянские дети,"Стихи и поэзия,Литература 19 века,Русская классика",Николай Некрасов,
277888,Бой на калиновом мосту,Сказки,,
62879,Война грибов с ягодами,Сказки,,
41210,"За лапоток – курочку, за курочку – гусочку",Сказки,,
236442,Илья Муромец и змей,Сказки,,
186219,Садко,"Мифы / легенды / эпос,Древнерусская литература",,
162625,Бедные люди,"Литература 19 века,Русская классика",Федор Достоевский,1845
157886,Белые ночи,"Список школьной литературы 7-8 класс,Литература 19 века,Русская классика",Федор Достоевский,1848
35246,Дядюшкин сон,"Литература 19 века,Русская классика",Федор Достоевский,1859
233762,Афоризмы и мысли об истории,"Общая история,Публицистика",Василий Ключевский,
34363,Бешеные деньги,"Пьесы и драматургия,Литература 19 века,Русская классика",Александр Островский,1869
259540,Свои люди – сочтемся,"Пьесы и драматургия,Литература 19 века,Русская классика",Александр Островский,1849
42617,Снегурочка,"Пьесы и драматургия,Список школьной литературы 7-8 класс,Литература 19 века,Русская классика",Александр Островский,1873
91167,Таланты и поклонники,"Пьесы и драматургия,Литература 19 века,Русская классика",Александр Островский,1881
313436,Доходное место,"Пьесы и драматургия,Литература 19 века,Русская классика",Александр Островский,1857
286715,Не все коту масленица,"Пьесы и драматургия,Литература 19 века,Русская классика",Александр Островский,1871
215715,На всякого мудреца довольно простоты,"Пьесы и драматургия,Литература 19 века,Русская классика",Александр Островский,1868
56631,Незнакомка,"Пьесы и драматургия,Литература 20 века,Русская классика",Александр Блок,1906
120446,Басни,"Стихи и поэзия,Литература 19 века,Русская классика",Иван Крылов,
178563,Повествование мнимого глухого и немого,"Литература 18 века,Русская классика",Денис Фонвизин,1783
28084,Каллисфен,"Литература 18 века,Русская классика",Денис Фонвизин,
196517,Прыжок,"Детская проза,Литература 19 века,Русская классика",Лев Толстой,
214357,"Сказка об Иване-царевиче, Жар-птице и о сером волке",Сказки,,
124812,Никита Кожемяка,Сказки,,
273933,Ссора птиц: Индийская сказка,"Зарубежные детские книги,Сказки",,
172403,Как Братец Волк попал в беду,"Зарубежные детские книги,Сказки",Джоэль Чендлер Харрис,
124657,Белый пудель,"Детская проза,Литература 20 века,Русская классика",Александр Куприн,1903
209379,Гранатовый браслет,"Список школьной литературы 10-11 класс,Литература 20 века,Русская классика",Александр Куприн,1910
175729,На переломе,Русская классика,Александр Куприн,1900
39551,Островитяне,"Литература 20 века,Русская классика",Евгений Замятин,1917
210567,Хаджи-Мурат,"Литература 19 века,Русская классика",Лев Толстой,1896
272281,Анна на шее,"Литература 19 века,Русская классика",Антон Чехов,1895
134726,Учитель фехтования,"Литература 19 века,Исторические приключения",Александр Дюма,1840
194233,Айвенго,"Зарубежные приключения,Литература 19 века,Исторические приключения",Вальтер Скотт,1819
96696,Шутка Мецената,"Зарубежный юмор,Русская классика,Юмористическая проза",Аркадий Аверченко,1925
47307,Коломба,"Зарубежная классика,Литература 19 века",Проспер Мериме,1840
293034,Алые паруса,"Список школьной литературы 5-6 класс,Литература 20 века,Русская классика",Александр Грин,1923
186043,Вечера на хуторе близ Диканьки,"Список школьной литературы 5-6 класс,Литература 19 века,Русская классика",Николай Гоголь,1832
292402,Тарас Бульба,"Список школьной литературы 7-8 класс,Литература 19 века,Русская классика",Николай Гоголь,1835
47799,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем","Литература 19 века,Русская классика",Николай Гоголь,1834
229652,История государства Российского. Том 1. От древних славян до великого князя Владимира,"Общая история,Литература 19 века",Николай Карамзин,1816-1829
31711,Муму,"Детская проза,Список школьной литературы 5-6 класс,Литература 19 века,Русская классика",Иван Тургенев,1854
55513,Ася,"Литература 19 века,Исторические любовные романы,Классические любовные романы",Иван Тургенев,1858
288126,Первая любовь,"Литература 19 века,Классические любовные романы",Иван Тургенев,1860
73250,Обыкновенная история,"Зарубежная классика,Литература 19 века,Русская классика",Иван Гончаров,1846
108710,Рудин,Русская классика,Иван Тургенев,1856
169853,Анна Каренина,"Литература 19 века,Русская классика",Лев Толстой,1878
8653,Олеся,"Литература 19 века,Русская классика",Александр Куприн,1890
18000,Накануне,"Литература 19 века,Русская классика",Иван Тургенев,1859
221851,Записки из мертвого дома,"Литература 19 века,Русская классика",Федор Достоевский,1860
234393,Вешние воды,"Литература 19 века,Классические любовные романы",Иван Тургенев,1871
212269,Мещане,"Пьесы и драматургия,Литература 20 века,Русская классика",Максим Горький,1902
271846,Кому на Руси жить хорошо,"Стихи и поэзия,Литература 19 века,Русская классика",Николай Некрасов,1876
7661,Былое и думы,Русская классика,Александр Герцен,
156003,История Пугачева,"Общая история,Зарубежная образовательная литература",Александр Пушкин,1834
300258,О маленьких – для больших,"Зарубежный юмор,Русская классика,Юмористическая проза",Аркадий Аверченко,
181955,Бедная Лиза (сборник),"Список школьной литературы 7-8 класс,Русская классика",Николай Карамзин,1792
41780,"Я, Есенин Сергей…","Стихи и поэзия,Биографии и мемуары",Сергей Есенин,
21728,Немецкая революция и сталинская бюрократия,Политология,Лев Троцкий,1932
176715,"История русской революции. Том II, часть 1",Публицистика,Лев Троцкий,
176613,Европа в войне (1914 – 1918 г.г.),Публицистика,Лев Троцкий,
76533,Советская республика и капиталистический мир. Часть II. Гражданская война,Публицистика,Лев Троцкий,
252878,Терроризм и коммунизм,Публицистика,Лев Троцкий,
201999,Сталин. Том I,Биографии и мемуары,Лев Троцкий,
231178,Господа Головлевы,"Зарубежная классика,Классическая проза,Литература 19 века",Михаил Салтыков-Щедрин,1875-1880
39855,Убежище Монрепо,"Классическая проза,Литература 19 века,Русская классика",Михаил Салтыков-Щедрин,1882
144522,История одного города,"Список школьной литературы 10-11 класс,Зарубежная классика,Классическая проза,Литература 19 века,Русская классика",Михаил Салтыков-Щедрин,1869
293118,Дневник провинциала в Петербурге,"Зарубежная классика,Классическая проза,Литература 19 века,Русская классика",Михаил Салтыков-Щедрин,1873
21308,Благонамеренные речи,"Классическая проза,Литература 19 века,Русская классика",Михаил Салтыков-Щедрин,1876
5741,Современная идиллия,"Литература 19 века,Русская классика",Михаил Салтыков-Щедрин,1877
41575,Нечистая сила,Юмористическая проза,Аркадий Аверченко,
88986,Инженеры,Русская классика,Николай Гарин-Михайловский,1906
211125,Исповедь,Русская классика,Максим Горький,1908
206199,О любви,Стихи и поэзия,Владимир Маяковский,
108840,Чапаев,"Литература 20 века,Русская классика,Советская литература,Книги о войне",Дмитрий Фурманов,1923
131284,Кавказский пленник,"Литература 19 века,Русская классика",Лев Толстой,
135542,Русский в Париже 1814 года,"Литература 19 века,Русская классика",Николай Бестужев,1860
308291,Борис Годунов,"Пьесы и драматургия,Список школьной литературы 10-11 класс,Литература 19 века,Русская классика",Александр Пушкин,1831
295007,Вишневый сад,"Пьесы и драматургия,Список школьной литературы 10-11 класс,Литература 20 века,Русская классика",Антон Чехов,1904
223944,Записки из подполья,"Классическая проза,Литература 19 века,Русская классика",Федор Достоевский,1864
15131,Молнии искусства,"Книги о путешествиях,Публицистика",Александр Блок,1909
8028,Падение дома Эшеров,"Мистика,Зарубежное фэнтези,Литература 19 века",Эдгар Аллан По,1839
30772,Преждевременное погребение,"Мистика,Зарубежное фэнтези,Литература 19 века",Эдгар Аллан По,1844
300052,Лягушонок,"Зарубежная классика,Литература 19 века",Эдгар Аллан По,1849
281858,Волк и коза,Сказки,,
